team,team_nr
Afturelding,1
Augnablik,2
Breiðablik,3
Dalvík/Reynir,4
Elliði,5
FH,6
Fjarðabyggð,7
Fjarðabyggð/ Leiknir,8
Fjölnir,9
Fram,10
Fylkir,11
Grindavík,12
Grótta,13
HK,14
Haukar,15
Hvíti riddarinn,16
Höttur/Huginn,17
KA,18
KF,19
KFA,20
KFG,21
KFK,22
KFS,23
KH,24
KR,25
KV,26
Keflavík,27
Kormákur/Hvöt,28
Kári,29
Kórdrengir,30
Leiknir F.,31
Leiknir R.,32
Magni,33
Njarðvík,34
Reynir S.,35
Selfoss,36
Sindri,37
Stjarnan,38
Tindastóll,39
Valur,40
Vestri,41
Vængir Júpiters,42
Víkingur R.,43
Víkingur Ó.,44
Víðir,45
Völsungur,46
Árborg,47
Árbær,48
Ægir,49
ÍA,50
ÍBV,51
ÍH,52
ÍR,53
Ýmir,54
Þróttur R.,55
Þróttur V.,56
Þór,57
